# fen|wdl|wdl state|dtz|dtz state from Stockfish 13 probe_wdl and probe_dtz, generated by tools/syzygy_reference.py
8/5k2/8/8/8/b6K/8/8 b - - 0 1|0|1|0|1
8/4b2K/8/6P1/8/8/2p2k2/8 b - - 0 1|2|2|1|2
k2K4/6P1/8/6N1/8/8/8/8 w - - 0 1|2|1|1|2
8/8/6n1/2K5/8/8/8/4k3 b - - 0 1|0|1|0|1
8/8/8/3K4/8/8/P7/2N4k b - - 0 1|-2|1|-2|2
3q4/4p3/8/8/8/K7/8/5k2 b - - 0 1|2|1|1|2
8/3K4/8/8/4n3/6k1/8/8 b - - 0 1|0|1|0|1
2R3K1/8/5k2/1P6/8/8/8/8 b - - 0 1|-2|1|-2|2
6K1/8/Q7/8/3b3k/8/1P6/8 w - - 0 1|2|1|1|2
8/8/4P3/8/8/k7/8/5K1n b - - 0 1|0|1|0|1
8/3p4/3P3K/8/8/3B4/5k2/8 w - - 0 1|2|1|3|1
8/8/8/7p/4pP2/3k2K1/8/8 b - f3 0 1|2|1|1|2
8/2K5/6p1/8/k7/6P1/3Q4/8 b - - 0 1|-2|1|-2|2
8/8/K3p3/8/8/7k/8/R7 b - - 0 1|-2|1|-10|1
8/2K5/5r2/8/2k5/8/8/8 b - - 0 1|2|1|15|1
4k3/8/8/8/8/8/1p6/4K3 w - - 0 1|-2|1|-2|2
3b4/8/8/6K1/8/p7/1b6/2k5 w - - 0 1|-2|1|-2|2
3K4/p3p3/8/4k3/8/3p4/8/8 b - - 0 1|2|1|1|2
8/K2r4/8/8/5k2/8/8/8 w - - 0 1|-2|1|-20|1
8/8/6b1/8/2k5/5K2/8/7r w - - 0 1|-2|1|-16|1
5K2/8/8/8/3b4/2b5/8/3k2R1 b - - 0 1|0|1|0|1
6N1/8/8/8/1K6/8/8/4k3 w - - 0 1|0|1|0|1
8/8/5k2/7p/1b3B2/8/8/7K w - - 0 1|0|1|0|1
8/7N/1K6/8/8/4pk2/8/8 w - - 0 1|0|1|0|1
8/8/1K6/8/8/8/2q1b3/7k b - - 0 1|2|1|5|1
8/8/2K5/8/R4p1r/8/2k5/8 w - - 0 1|0|1|0|1
8/8/8/4k3/8/8/8/2nK4 b - - 0 1|0|1|0|1
3n4/8/4N2K/k7/4R3/8/8/8 w - - 0 1|2|2|1|2
8/N2k4/8/8/6n1/8/8/N1K5 w - - 0 1|0|1|0|1
8/5r2/8/8/8/k7/6b1/5K2 w - - 0 1|-2|1|-14|1
8/5k2/6n1/5N2/8/1p6/8/1K6 w - - 0 1|0|1|0|1
b7/r2k1K2/8/8/8/8/8/8 w - - 0 1|-2|1|-12|1
4k3/3q2Q1/8/3K4/8/8/p7/8 w - - 0 1|-2|1|-2|1
1B6/8/8/8/4p3/8/2k1K1p1/8 w - - 0 1|0|1|0|1
4K3/7P/8/4k3/8/5R2/4B3/8 b - - 0 1|-2|1|-2|2
8/8/8/k7/4b3/2Q5/8/2KN4 b - - 0 1|-2|1|-4|1
8/6k1/8/6Pp/1K6/8/8/5n2 w - h6 0 1|0|1|0|1
8/8/4k3/8/8/3P4/K7/8 w - - 0 1|0|1|0|1
8/P7/8/2NP4/8/1K6/8/6k1 b - - 0 1|-2|1|-2|2
8/4k3/7K/8/1p6/8/8/8 w - - 0 1|-2|1|-2|2
5B2/3r4/8/4K3/3p4/8/2k5/8 b - - 0 1|2|1|1|2
8/8/8/8/8/8/4K2R/6k1 b - - 0 1|0|2|0|2
4k3/8/8/8/5K2/8/8/3N4 w - - 0 1|0|1|0|1
8/p5p1/8/6k1/8/8/3K4/8 w - - 0 1|-2|1|-2|2
8/8/6K1/2k3p1/4p3/8/7b/8 b - - 0 1|2|1|1|2
8/8/r7/5Pp1/5k2/8/8/7K w - g6 0 1|-2|1|-2|2
8/8/8/7K/1P4p1/P7/8/5k2 b - - 0 1|2|1|1|2
8/8/8/2k4K/6P1/8/8/6n1 b - - 0 1|0|1|0|1
4k3/8/8/3K4/6q1/8/8/6R1 w - - 0 1|2|2|1|2
k7/8/2K5/2N5/4P3/8/2N5/8 w - - 0 1|2|1|1|2
8/8/1R3k2/1P6/b7/8/3K4/8 b - - 0 1|-2|1|-4|1
8/8/8/K7/6k1/8/2P5/8 b - - 0 1|-2|1|-2|2
8/2B5/4K3/7k/8/8/8/8 b - - 0 1|0|1|0|1
8/8/4r3/8/7K/6P1/2k5/8 w - - 0 1|-2|1|-12|1
8/7k/8/1Pp5/8/8/8/K7 w - c6 0 1|2|2|1|2
1k6/8/8/2K2Pp1/5P2/8/8/8 w - g6 0 1|2|2|1|2
4k3/8/K7/8/8/8/5R2/8 w - - 0 1|2|1|23|1
6K1/8/2Q5/3Pp3/8/8/8/6k1 w - e6 0 1|2|2|1|2
4B3/8/3k4/8/3r4/6K1/3Q4/8 w - - 0 1|2|2|1|2
8/1K4k1/2p5/8/8/8/8/4n3 b - - 0 1|2|1|1|2
5N2/K7/8/4k3/8/8/8/8 b - - 0 1|0|1|0|1
K7/8/8/8/P7/8/k7/8 b - - 0 1|-2|1|-2|2
8/3N4/2kQ4/8/7K/8/3n4/8 b - - 0 1|0|1|0|1
N7/1K6/N3kN2/8/8/8/8/8 w - - 0 1|2|1|30|1
2B5/6k1/4K3/4P3/8/5r2/8/8 b - - 0 1|0|1|0|1
5k2/2p5/8/8/7K/8/R7/8 w - - 0 1|2|1|3|1
8/7P/7K/8/8/8/2k5/8 b - - 0 1|-2|1|-2|2
8/8/5k2/8/Pp5K/8/8/8 b - a3 0 1|2|2|1|2
8/8/7K/6N1/5P2/n7/4k3/8 w - - 0 1|0|1|0|1
3rk3/8/4K3/R7/8/8/8/8 b - - 0 1|0|1|0|1
8/8/1K6/1p4k1/R7/8/8/8 b - - 0 1|2|2|1|2
8/8/8/2p4k/2Pp4/8/8/5K2 b - c3 0 1|2|1|9|1
8/4K3/8/8/2P5/8/2k1R3/8 b - - 0 1|-2|1|-2|2
8/4R3/8/8/6K1/8/8/k7 b - - 0 1|-2|1|-18|1
8/8/2N5/4P3/8/7b/2K5/7k w - - 0 1|0|1|0|1
3K4/8/6n1/2b5/8/8/8/3Bk3 w - - 0 1|0|1|0|1
8/8/5n2/8/6R1/8/3k1K2/8 w - - 0 1|0|1|0|1
8/8/8/5Pp1/8/1k6/8/5K2 w - g6 0 1|2|2|1|2
6K1/1R6/8/2N5/7P/6k1/8/8 b - - 0 1|-2|1|-2|1
3K1n2/8/8/7k/8/3n4/8/8 w - - 0 1|0|1|0|1
8/6N1/8/8/8/1K2np2/7k/8 b - - 0 1|2|1|1|2
8/8/3k4/6Pp/K7/8/8/8 w - h6 0 1|2|2|1|2
3r4/8/4R3/8/8/8/1k2QK2/8 b - - 0 1|-2|1|-6|2
8/8/8/4pP2/3k4/8/6R1/K7 w - e6 0 1|2|2|1|2
8/6B1/1k3K2/3n4/8/8/8/8 w - - 0 1|0|1|0|1
8/5k2/8/8/1pP5/8/b7/2K5 b - c3 0 1|2|2|1|2
8/8/K7/8/6P1/4k3/1P4b1/8 b - - 0 1|0|1|0|1
5K2/P7/8/7k/8/7R/8/8 b - - 0 1|-2|1|-2|2
4R2k/R7/n7/8/8/8/7K/8 b - - 0 1|-2|1|-1|-1
8/P7/8/6BR/8/7k/3K4/8 b - - 0 1|-2|1|-2|2
2K5/8/4Q3/8/Pp6/4k3/8/8 b - a3 0 1|0|0|0|0
4r3/8/3N4/8/8/8/K7/7k w - - 0 1|0|1|0|1
8/5k2/8/8/4r1K1/8/2p4r/8 w - - 0 1|-2|1|-2|2
3k4/N2r4/5K2/7r/8/8/8/8 b - - 0 1|2|2|1|2
b7/2K5/p7/6k1/8/8/8/8 b - - 0 1|2|1|1|2
3q4/5P1K/8/8/8/5k2/8/8 w - - 0 1|0|1|0|1
7n/8/8/2Q5/2K1k3/3p4/8/8 b - - 0 1|-2|1|-4|2
8/8/1p6/K7/7k/2P5/8/8 w - - 0 1|2|2|1|2
8/P7/3P4/4K3/5P2/8/4k3/8 b - - 0 1|-2|1|-2|2
8/8/8/P3k3/8/1Kp5/8/8 w - - 0 1|2|1|1|2
r7/8/3P4/1n6/5K2/8/8/7k b - - 0 1|2|2|1|2
8/3R4/4P3/1b6/6k1/8/6K1/8 w - - 0 1|2|1|3|1
8/7K/8/8/7q/6p1/8/6k1 w - - 0 1|-2|1|-2|2
8/7N/8/8/8/4p1k1/8/5b1K w - - 0 1|-2|1|-2|2
8/4k3/6B1/p7/1K6/8/8/8 w - - 0 1|0|1|0|1
8/8/8/K1N5/8/8/k7/8 w - - 0 1|0|1|0|1
8/5p2/8/8/8/2k1p3/8/3K4 b - - 0 1|2|1|1|2
k7/8/8/5Kb1/8/4p3/8/8 w - - 0 1|-2|1|-2|2
4N3/4K3/8/2B1k2R/8/8/8/8 b - - 0 1|-2|1|-8|1
4B1k1/8/6P1/8/K7/8/5n2/8 w - - 0 1|0|1|0|1
8/8/3K4/8/k5b1/4b3/8/8 b - - 0 1|2|1|32|1
8/7r/8/8/P7/5k2/7P/7K b - - 0 1|2|1|1|1
2N5/8/8/8/6K1/8/5nk1/8 w - - 0 1|0|1|0|1
3K2b1/8/8/8/1b6/k7/3P4/8 b - - 0 1|2|2|1|2
8/8/5k2/4p3/3b4/8/p7/6K1 w - - 0 1|-2|1|-2|2
8/8/8/p7/6n1/1K6/p7/2k5 b - - 0 1|2|1|1|2
8/B7/3K4/8/8/2R5/8/1k6 b - - 0 1|-2|1|-12|1
8/8/1K6/8/8/8/rr2k3/4r3 w - - 0 1|-2|1|-6|1
8/8/8/4n2K/8/8/7R/5k2 b - - 0 1|0|1|0|1
1K5N/8/8/8/3k3P/P7/8/8 b - - 0 1|-2|1|-2|2
4r3/8/8/4Q3/8/2P5/4k3/K7 b - - 0 1|2|2|1|2
5n2/8/8/6k1/Pp6/8/1K6/8 b - a3 0 1|0|1|0|1
8/8/4b2k/8/8/K7/6PN/8 b - - 0 1|0|1|0|1
8/6kP/4r3/8/6K1/2r5/8/8 w - - 0 1|-2|1|-2|2
8/8/3kr3/8/8/K7/8/7n b - - 0 1|2|1|11|1
8/2k5/8/3B2Q1/8/8/1K3p2/8 w - - 0 1|2|1|3|1
8/8/8/8/7k/2K5/P2Q4/8 b - - 0 1|-2|1|-2|2
K3k3/8/8/5pP1/8/8/8/8 w - f6 0 1|0|1|0|1
7K/8/1k1q4/8/1p6/8/8/8 b - - 0 1|2|1|1|2
K7/6P1/8/8/8/7k/B7/7b w - - 0 1|2|1|3|1
4r1K1/8/8/8/8/1r6/5k2/8 w - - 0 1|-2|1|-6|1
8/5p2/8/8/8/k3r3/8/5K2 w - - 0 1|-2|1|-4|1
8/1K6/6k1/8/1b4p1/8/8/8 b - - 0 1|2|1|1|2
8/4k3/8/8/2P3K1/8/8/2b5 w - - 0 1|0|1|0|1
k7/4K3/8/8/6N1/8/8/8 b - - 0 1|0|1|0|1
8/8/7K/8/5n2/8/7k/8 w - - 0 1|0|1|0|1
K7/n7/8/8/8/2bk4/8/8 w - - 0 1|0|1|0|1
8/4p3/8/8/3k4/8/1K6/2B5 w - - 0 1|0|1|0|1
n4K2/8/6b1/8/4N3/8/5k2/8 b - - 0 1|2|2|1|2
8/6K1/8/8/6p1/8/6k1/8 b - - 0 1|2|1|1|2
8/1p5K/8/8/2P5/8/1k6/8 b - - 0 1|2|1|1|2
8/8/1k1N3r/8/1K6/6B1/8/8 w - - 0 1|0|1|0|1
2K5/8/N6k/8/8/p7/5Q2/8 w - - 0 1|2|1|3|1
8/1P6/8/8/4k3/1r6/1BK5/8 w - - 0 1|2|2|1|2
8/5P2/8/3k4/6K1/8/8/8 w - - 0 1|2|1|1|2
8/3p4/3k4/1K5n/8/8/1N6/8 w - - 0 1|0|1|0|1
8/8/8/7K/1k6/6r1/8/R7 b - - 0 1|0|1|0|1
8/8/2K2B2/8/8/3k2p1/3q4/8 w - - 0 1|-2|1|-2|2
8/3q4/8/8/1K3p2/8/8/2k5 b - - 0 1|2|1|1|2
2N5/8/4K3/6k1/8/7B/4p3/8 b - - 0 1|2|1|1|2
2N5/8/8/k2p4/8/8/7p/6K1 w - - 0 1|0|1|0|1
8/8/8/q7/8/K7/p7/7k w - - 0 1|-2|1|-2|2
2K5/8/8/8/8/8/5B2/2k5 w - - 0 1|0|1|0|1
8/8/8/8/4K1k1/8/8/7R w - - 0 1|2|1|13|1
8/8/1b6/1K1k4/3R4/8/8/8 b - - 0 1|0|1|0|1
6k1/8/3b3K/8/8/2r5/8/8 b - - 0 1|2|1|7|1
2Q5/3R4/8/4k1K1/8/8/8/8 b - - 0 1|-2|1|-4|1
1K6/8/8/8/8/8/8/1k2r3 w - - 0 1|-2|1|-24|1
2k5/8/8/b7/8/3P4/8/5K2 w - - 0 1|0|1|0|1
7k/8/1K6/4B3/Pp6/8/8/8 b - a3 0 1|0|0|0|0
8/1p5K/8/8/3k4/7B/7Q/8 b - - 0 1|-2|1|-4|1
8/2K5/1P2B3/6qk/8/8/8/8 b - - 0 1|2|1|5|1
8/8/1K6/3P4/4k3/4P3/8/8 w - - 0 1|2|1|1|2
6k1/8/8/8/8/5K2/R6P/8 w - - 0 1|2|1|1|2
8/6k1/8/3P4/8/3R3K/N7/8 w - - 0 1|2|1|1|2
5K2/7k/8/8/8/N7/8/8 w - - 0 1|0|1|0|1
5k2/R7/8/8/7K/6R1/7P/8 b - - 0 1|-2|1|-2|2
5B1K/8/8/7k/1pP5/8/8/8 b - c3 0 1|0|1|0|1
5k2/8/8/2Pp4/1B6/1K6/8/8 w - d6 0 1|2|2|1|2
2k5/8/1b6/8/8/8/8/1K4n1 b - - 0 1|2|1|42|1
8/8/8/4qR2/6P1/8/1k3K2/8 b - - 0 1|2|1|63|1
8/8/3p4/8/8/2K5/8/1k6 w - - 0 1|0|1|0|1
2k5/8/7K/8/6p1/7Q/3r4/8 w - - 0 1|2|2|1|2
5K2/8/8/1N6/4Bk2/5P2/8/8 b - - 0 1|-2|1|-6|1
8/6K1/8/5p2/8/7P/8/5k2 b - - 0 1|0|1|0|1
6K1/r7/8/6k1/8/2n5/8/8 w - - 0 1|-2|1|-8|1
8/8/7K/3q4/3pP3/8/1k6/8 b - e3 0 1|2|2|1|2
3q4/5k2/8/3P4/7K/8/8/8 w - - 0 1|-2|1|-2|2
8/7K/8/8/8/r2rp3/8/1k6 w - - 0 1|-2|1|-2|2
K4n2/8/8/8/8/8/4k3/8 b - - 0 1|0|1|0|1
8/8/k1P5/3K4/8/8/8/8 w - - 0 1|2|1|3|1
8/8/k7/8/2P5/8/N2K4/8 b - - 0 1|-2|1|-8|2
5B2/6p1/p5K1/8/8/7k/8/8 w - - 0 1|0|1|0|1
8/p7/8/4k3/5p2/8/7K/8 w - - 0 1|-2|1|-2|2
5Q2/2r5/8/4k3/8/8/8/1K6 w - - 0 1|2|1|53|1
5k2/8/2P5/7R/5K2/8/8/8 b - - 0 1|-2|1|-2|2
3k4/2P1B3/3r4/8/8/8/8/2K5 b - - 0 1|0|1|0|1
8/6P1/5R2/8/2r5/5K2/8/1k6 b - - 0 1|-2|1|-10|2
1k6/8/1K6/8/B7/p3p3/8/8 b - - 0 1|2|1|1|2
8/8/7R/3pk1K1/8/8/8/8 b - - 0 1|-2|1|-12|1
8/8/8/8/2K5/8/k7/4Q3 b - - 0 1|-2|1|-6|1
8/2k5/8/5b2/P4K2/8/8/8 w - - 0 1|0|1|0|1
8/8/1k6/3K4/8/8/P7/8 w - - 0 1|0|1|0|1
8/3p4/8/8/7k/1K6/8/2r5 b - - 0 1|2|1|1|2
8/8/1PP3p1/8/4K3/8/6k1/8 b - - 0 1|-2|1|-2|2
5n2/3p4/4K3/1P6/8/8/k7/8 w - - 0 1|0|1|0|1
8/4k3/8/8/8/4N3/8/B6K b - - 0 1|-2|1|-57|1
8/3P2p1/8/8/8/3K4/k7/8 w - - 0 1|2|1|1|2
6b1/8/8/2P5/8/n5K1/k7/8 w - - 0 1|-2|1|-8|1
8/7K/8/p6P/8/8/6b1/6k1 w - - 0 1|-2|1|-2|2
8/5K2/1N6/8/k7/5p2/6P1/8 b - - 0 1|-2|1|-2|2
6K1/8/2p5/2k5/8/2p5/8/8 b - - 0 1|2|1|1|2
3Kn3/8/7r/8/6k1/8/7r/8 b - - 0 1|2|1|5|1
8/8/8/8/4k3/7n/3K4/8 w - - 0 1|0|1|0|1
8/5p2/5n2/5k2/8/8/8/1K6 w - - 0 1|-2|1|-4|1
8/8/8/8/2B5/8/1k1r3P/7K b - - 0 1|0|1|0|1
8/8/3r1K2/4P3/8/8/6k1/8 w - - 0 1|2|2|1|2
8/3N2q1/1K6/8/3k4/2p5/8/8 b - - 0 1|2|2|1|2
8/7k/8/8/8/B7/1K6/8 w - - 0 1|0|1|0|1
B7/4P3/8/8/8/5k2/8/2R3K1 b - - 0 1|-2|1|-2|2
8/8/7k/Q7/K7/8/7N/6r1 b - - 0 1|0|1|0|1
8/2k1K3/8/4nQ2/8/3N4/8/8 w - - 0 1|2|2|1|2
7r/8/6K1/2k1Pp2/8/8/8/8 w - f6 0 1|-2|1|-2|2
K3k3/6q1/8/8/2pP4/8/8/8 b - d3 0 1|2|2|1|2
8/8/4K1p1/n7/k7/3n4/8/8 b - - 0 1|2|1|9|1
7k/8/8/8/1K2P3/8/8/2B5 w - - 0 1|2|1|1|2
8/8/8/8/2KN4/8/8/5k2 w - - 0 1|0|1|0|1
8/1p5k/8/2Pp4/8/8/8/6K1 w - d6 0 1|2|2|1|2
8/6k1/8/2b5/2pP4/8/K7/8 b - d3 0 1|2|2|1|2
3KN3/8/8/2p4B/5k2/8/8/8 b - - 0 1|-2|1|-10|1
8/8/8/8/p3k3/K7/3p4/8 w - - 0 1|-2|1|-2|1
1K6/8/8/2k5/8/8/8/4N1R1 w - - 0 1|2|1|15|1
8/7q/5k2/8/6PR/8/8/4K3 w - - 0 1|2|2|1|2
8/8/3b3k/3p2P1/7K/8/8/8 b - - 0 1|2|1|3|1
8/3rr3/2k5/8/8/8/8/1n5K b - - 0 1|2|1|3|1
8/8/8/5N2/5K2/2N1P3/2k5/8 b - - 0 1|-2|1|-2|2
8/8/2p5/5k2/K7/1P6/6n1/8 w - - 0 1|0|1|0|1
8/3P4/3k4/8/8/8/4K3/6b1 w - - 0 1|2|1|1|2
8/2R4K/8/4B2N/6k1/8/8/8 b - - 0 1|-2|1|-10|1
8/2p5/8/8/8/6p1/8/K4k1B b - - 0 1|0|1|0|1
1K6/8/8/6P1/R4k2/8/8/8 b - - 0 1|-2|1|-2|1
8/2p5/8/8/7K/1q6/8/7k b - - 0 1|2|1|1|2
3R2K1/4k3/1N6/8/8/4b3/8/8 b - - 0 1|0|1|0|1
3q4/5K2/8/8/8/8/7k/8 b - - 0 1|2|1|11|1
8/7Q/1K6/8/4P3/8/6k1/8 b - - 0 1|-2|1|-2|2
8/8/3N4/K3k3/6R1/8/8/8 w - - 0 1|2|1|13|1
8/8/k7/8/P4N2/5K2/8/1b6 w - - 0 1|0|1|0|1
8/2k5/K4n2/8/4P3/8/8/8 w - - 0 1|0|1|0|1
5Q2/8/6P1/4P1K1/8/2k5/8/8 b - - 0 1|-2|1|-2|2
3n4/8/8/2R1K3/8/2P5/4k3/8 w - - 0 1|2|1|1|2
8/8/8/2q5/1N3P2/8/3K3k/8 b - - 0 1|2|2|1|2
8/4p3/8/8/4k3/6K1/8/8 w - - 0 1|-2|1|-2|2
8/2k2PK1/8/8/8/B7/8/4B3 w - - 0 1|2|1|1|2
8/K7/8/8/2b5/8/7k/8 w - - 0 1|0|1|0|1
7K/8/8/8/8/P7/2k1p3/8 w - - 0 1|-2|1|-1|1
5k2/8/8/8/8/5N2/8/6K1 b - - 0 1|0|1|0|1
6K1/8/8/8/3k4/6Pr/8/8 b - - 0 1|2|2|1|2
8/8/4k3/4P3/8/1Rn5/8/2K5 b - - 0 1|0|1|0|1
4R3/8/8/8/k7/8/3b1K2/4r3 b - - 0 1|2|2|1|2
7B/1k6/8/3R4/3P4/8/6K1/8 w - - 0 1|2|1|3|1
8/5K2/4R3/3k4/4R3/8/8/8 w - - 0 1|2|1|1|1
8/6K1/8/8/2pP2B1/6k1/8/8 b - d3 0 1|2|2|1|2
8/8/8/8/6PK/1k1p4/8/8 b - - 0 1|2|1|1|2
5R2/8/8/5K2/8/8/8/3k4 b - - 0 1|-2|1|-22|1
8/8/8/kP6/6N1/8/7K/8 w - - 0 1|0|1|0|1
8/8/8/6p1/1K6/8/4k3/8 b - - 0 1|2|1|1|2
8/8/3p1K2/8/8/3P4/5k2/8 w - - 0 1|0|1|0|1
8/8/4n1P1/2k5/8/2p3K1/8/8 b - - 0 1|2|1|1|2
8/8/8/5k2/2pP4/8/8/6K1 b - d3 0 1|2|2|1|2
4K3/8/8/2k5/1r6/6p1/7R/8 b - - 0 1|2|2|1|2
8/6p1/8/3k1K1p/8/2R5/8/8 w - - 0 1|2|1|3|1
8/8/8/2p5/K4Pk1/8/3P4/8 b - - 0 1|-2|1|-4|2
3K4/B7/4b3/8/5n2/8/1k6/8 w - - 0 1|0|1|0|1
8/7k/8/8/2Pp4/7K/8/8 b - c3 0 1|2|2|1|2
8/8/8/5k1N/1P1K4/8/8/8 b - - 0 1|-2|1|-2|2
6B1/8/1n6/2P5/8/8/8/2k2K2 w - - 0 1|2|2|1|2
8/3p4/8/7B/8/2pk3K/8/8 w - - 0 1|-2|1|-4|2
2k5/8/3K4/1P5B/8/6p1/8/8 b - - 0 1|2|1|1|2
8/3K4/1b6/8/N7/2B5/8/1k6 w - - 0 1|2|2|1|2
8/4k3/8/6P1/8/7K/n7/1n6 w - - 0 1|0|1|0|1
8/3PK3/8/8/2k4p/6b1/8/8 w - - 0 1|2|1|1|2
8/8/8/8/6pP/8/k5K1/8 b - h3 0 1|0|1|0|1
k7/8/2p5/4R3/3K4/8/8/8 b - - 0 1|-2|1|-6|1
k7/8/4b3/8/8/1N1K4/3P4/8 b - - 0 1|0|1|0|1
8/8/6k1/8/5KpP/8/8/8 b - h3 0 1|0|1|0|1
1k4B1/8/8/8/8/3N4/6K1/8 w - - 0 1|2|1|42|1
8/8/8/K7/pP6/2k5/8/8 b - b3 0 1|2|2|1|2
1K6/8/8/6k1/8/8/6B1/N7 w - - 0 1|2|1|56|1
8/8/2K2R2/8/8/7k/8/3B3B b - - 0 1|-2|1|-10|1
1K6/8/2P5/8/5k2/7B/3r4/8 w - - 0 1|0|1|0|1
8/8/3P4/K6n/6k1/8/8/8 b - - 0 1|0|1|0|1
6k1/8/Q1p5/8/8/8/5P2/4K3 b - - 0 1|-2|1|-2|2
8/6p1/8/8/K7/1p6/8/6k1 b - - 0 1|2|1|1|2
8/4K3/k7/3pP3/8/8/8/8 w - d6 0 1|2|2|1|2
8/8/8/8/8/3K4/3b4/3k4 b - - 0 1|0|1|0|1
8/8/8/k7/p1K3P1/2n5/8/8 b - - 0 1|2|1|3|1
8/8/3k4/2r3b1/6K1/8/8/8 w - - 0 1|-2|1|-12|1
5n2/k7/8/1pP5/8/8/3K4/8 w - b6 0 1|0|1|0|1
8/8/8/2Pp4/5k2/8/8/4K3 w - d6 0 1|2|2|1|2
8/6kp/8/1P6/8/8/6K1/8 w - - 0 1|2|1|1|2
8/6Pk/4pp2/8/8/8/8/2K5 w - - 0 1|-2|1|-2|2
3b4/8/8/2K5/8/8/4k3/8 w - - 0 1|0|1|0|1
2k5/8/8/8/8/6Kp/8/8 w - - 0 1|0|1|0|1
6n1/8/5kp1/8/2n5/8/8/7K w - - 0 1|-2|1|-2|2
6r1/3p4/8/3K4/8/8/8/6k1 w - - 0 1|-2|1|-4|1
3k4/2p3r1/8/8/8/8/8/1K6 b - - 0 1|2|1|1|2
7K/8/1k6/R5P1/1P6/8/8/8 b - - 0 1|-2|1|-2|2
8/7K/p3k3/8/1P6/6b1/8/8 w - - 0 1|-2|1|-4|1
8/8/8/8/8/8/8/K1B1kr2 w - - 0 1|0|1|0|1
1B6/8/8/1q6/5R2/5K2/k7/8 w - - 0 1|-2|1|-3|1
8/6k1/8/7K/8/8/3p4/8 b - - 0 1|2|1|1|2
4k3/3p4/5K2/8/8/8/1b6/8 w - - 0 1|-2|1|-2|2
4r3/8/2K2k2/8/8/8/B7/8 b - - 0 1|0|1|0|1
8/8/1k3n2/3P4/8/8/3N4/4K3 b - - 0 1|0|1|0|1
8/3K4/1k6/8/p7/8/8/8 b - - 0 1|2|1|1|2
8/8/2P2p2/4BK2/8/2k5/8/8 b - - 0 1|-2|1|-2|2
4B3/8/8/8/3r4/8/4R3/1K4k1 b - - 0 1|0|1|0|1
8/8/6K1/2k5/1pP5/8/8/8 b - c3 0 1|2|2|1|2
8/7k/P7/3P2P1/8/1K6/8/8 w - - 0 1|2|1|1|2
5K2/8/5n2/6Pp/8/8/3k4/8 w - h6 0 1|0|1|0|1
8/K2p4/8/8/Q1k5/8/8/8 b - - 0 1|-2|1|-2|2
8/8/8/8/6pk/r1K5/6R1/8 w - - 0 1|-2|1|-4|2
Q7/8/8/5K2/k7/p7/8/8 b - - 0 1|-2|1|-8|2
5N2/8/8/R7/1K3k2/7Q/8/8 b - - 0 1|-2|1|-2|1
8/B7/8/8/3k4/3P3K/8/8 b - - 0 1|0|1|0|1
8/8/8/1P6/3k1P2/8/6K1/8 b - - 0 1|-2|1|-2|2
8/5P2/8/8/8/8/2K1k3/8 b - - 0 1|-2|1|-2|2
8/1k5K/8/6B1/8/P7/1p6/8 b - - 0 1|2|1|1|2
8/8/3r1Rk1/8/2q5/8/1K6/8 b - - 0 1|2|2|1|2
8/8/3K4/2r5/3p2b1/4k3/8/8 w - - 0 1|-2|1|-2|2
8/8/3K4/8/1N3kb1/8/7n/8 w - - 0 1|0|1|0|1
8/3bP3/8/8/4k3/8/8/3K4 w - - 0 1|0|1|0|1
8/5PN1/8/1K6/8/8/7k/2q5 b - - 0 1|2|1|3|1
K7/8/8/R7/8/5p1p/8/3k4 w - - 0 1|-2|1|-7|1
8/8/8/3P4/7K/4k3/4b3/3n4 w - - 0 1|-2|1|-4|1
8/8/7K/8/8/5k2/3B4/8 w - - 0 1|0|1|0|1
8/8/2p5/2P5/6K1/8/1k6/8 w - - 0 1|0|1|0|1
5K2/8/2b5/8/8/4Bk2/8/8 w - - 0 1|0|1|0|1
8/6K1/8/5pP1/4n3/8/4k3/8 w - f6 0 1|0|1|0|1
8/7k/2b5/4R3/6R1/8/8/7K w - - 0 1|2|1|5|1
8/4k3/8/8/8/8/N7/4K3 w - - 0 1|0|1|0|1
8/8/R7/8/6r1/3k2PK/8/8 w - - 0 1|2|2|1|2
8/3K4/8/8/7P/5k2/P7/6B1 w - - 0 1|2|1|1|2
5Kq1/1P6/4k3/8/8/p7/8/8 w - - 0 1|0|2|0|2
K1R5/8/6b1/8/8/8/2N5/6k1 b - - 0 1|-2|1|-34|1
8/8/7r/8/1K6/3k4/2p2n2/8 b - - 0 1|2|1|1|2
8/5k2/8/1P6/8/8/2N5/Q1K5 w - - 0 1|2|1|1|2
8/8/8/8/8/2Q5/k5K1/8 w - - 0 1|2|1|11|1
3r4/6kr/3b4/6K1/8/8/8/8 b - - 0 1|2|1|3|1
8/8/2B5/1K6/4b2r/7k/8/8 w - - 0 1|-2|1|-28|2
8/k7/8/5pP1/8/8/8/1K6 w - f6 0 1|2|2|1|2
8/8/8/2k5/8/8/4P2r/2K5 b - - 0 1|2|2|1|2
8/7r/4k3/1pP5/8/8/8/7K w - b6 0 1|0|0|0|0
8/1K6/8/8/5k2/3q4/8/8 b - - 0 1|2|1|9|1
8/8/5n2/8/8/4k3/8/4K3 w - - 0 1|0|1|0|1
5r2/8/3p4/8/R7/8/7k/5K2 w - - 0 1|0|1|0|1
8/8/R5K1/8/8/5k2/8/8 w - - 0 1|2|1|19|1
