# fen|stockfish 15.1 nnue value|adjusted value, side to move; net nn-ad9b42354671, generated by tools/nnue_reference.py
2bB2r1/5k2/3P2p1/r4p2/4p1pP/1P4P1/2nnPK2/1Q2RR2 w - - 14 54|662|628
2bB2r1/5k2/r2P2p1/5p2/2P1p1pP/4P1P1/5K2/1Q2nR2 b - - 0 57|-582|-562
2bBr3/5k2/3P2p1/1Q3p2/2P1p1pP/4P1P1/4r3/4KR2 w - - 1 60|440|391
3B2kr/1b6/3P2p1/5p1P/2P1p1p1/4P1P1/1Q2r3/3K1R2 b - - 4 63|-703|-656
1Q4kr/8/3P2p1/B2b3P/2P1ppp1/4P1P1/4r3/3K1R2 b - - 1 65|-1311|-1274
6br/6k1/3P4/B6p/2P1pPp1/4P3/4r3/3K1R2 w - - 0 68|41|85
rnbqkbnr/ppp1pppp/8/3p4/PP6/8/2PPPPPP/RNBQKBNR b KQkq - 0 2|175|180
rn1qkbnr/p4ppp/b7/1pppp1N1/PP5P/8/2PPPPP1/RNBQKB1R w KQkq - 2 6|64|61
rn2k2r/p3nppp/b2b4/1pPpp1q1/P4P1P/R5P1/2PPP3/1NBQKB1R b Kkq - 2 9|525|505
rn2k2r/p2qnpp1/b2b4/1pPp3p/P3pP1P/R1N3P1/2PPP1R1/2BQKB2 w kq - 2 13|-1005|-1003
rn2k2r/p2qnpp1/b2b4/1PP4p/3p1P1P/R1N1p1P1/2PPPKR1/2BQ1B2 w kq - 0 15|-521|-521
rn3k1r/p4pp1/b2b2n1/1qP4p/3p1P1P/R1N1P1P1/2PQPKR1/2B2B2 w - - 0 18|165|178
rn2Qkr1/pq3pp1/b5n1/2P4p/3p1b1P/R3P1P1/2P1PKR1/2BN1B2 b - - 5 21|60|36
rn2k1r1/pq3pp1/6nb/2P4p/3p2PP/B3P3/2P1bKR1/R2N1B2 b - - 3 24|2426|2344
rn2k1r1/p2n1pp1/6qb/2P4p/3p2PP/B3P3/2P1b1R1/R2N1BK1 w - - 10 28|-1074|-969
rR2k1r1/p2n1pp1/2P3qb/7p/3P2PP/B2b4/2P3R1/3N1BK1 b - - 0 31|247|164
1r2k1r1/p2n1pp1/2P4b/5q1p/2PP2PP/B7/5R2/1b1N1BK1 w - - 3 34|-974|-852
4k1r1/p2n1ppq/2rN3b/7p/2PP2PP/B6B/5R2/1b4K1 b - - 1 37|1680|1568
6r1/p3kppq/1nrN3b/6Pp/2PPb2P/7B/2R5/2B3K1 w - - 5 41|-1350|-1228
5r2/p4ppq/2rNk2b/6Pp/n1PPb2P/5B2/5R2/2B4K b - - 12 44|1989|1878
5r2/p5pq/4k1P1/2r3Np/nbPPb2P/5B2/5R2/2B4K b - - 2 47|1610|1499
3nrbkr/p1qppppp/3n4/1pp5/6PP/3PPP2/bPP2N2/BQN1RBKR w KQkq - 2 11|-338|-334
1q2rbkr/pn1ppppp/3n4/1ppb4/4P1PP/3P1P1N/1PP1B1K1/BQN1R2R b kq - 6 14|263|256
q3rbkr/pn1pppp1/7p/1ppbP3/2P1n1PP/3P1P1N/1P2B3/BQN1RK1R b kq - 0 17|573|569
q1rn1bkr/p2pppp1/7p/1pp1P3/2b1nPPP/3P3N/NP6/BQ1BRK1R b k - 3 20|1235|1234
q1r2bkr/p2pp1p1/4np1p/1p2P3/2p1nPPP/1b1P3N/1P6/BQ1BRKNR w k - 0 24|-883|-872
q4bkr/p2pp3/2r1Pppp/1p4n1/2pPQPPP/1b5N/1P2K3/B2BR1NR b k - 0 27|324|340
bbqrknr1/1ppppppp/p5n1/8/7P/5P2/PPPPP1P1/BBQRKNRN w KQkq - 1 3|121|130
b1qrknr1/b1ppppp1/p5n1/1p5p/7P/2PPPP2/PP2K1P1/BBQR1NRN b kq - 0 6|402|397
b1qr1nr1/b1p1k1p1/p3p1n1/1p1p1p1p/3P3P/2P1PP2/PP1RK1P1/BBQ2NRN w - - 2 10|-155|-149
bbqr2r1/2pnk1p1/p5n1/1p1p1p1p/3P3P/2P1PP2/PP1RKNP1/BBQ3R1 w - - 2 13|-744|-729
1bqr2r1/1bpnk1p1/6n1/pp1p1p1p/3P2NP/1QP1PP2/PP1RK1P1/BB4R1 b - - 3 15|1143|1137
2qrk1r1/bbp3p1/6nN/pp1pnp1p/3P3P/1QP1PP2/PP2R1P1/BB3KR1 b - - 9 18|682|663
3rk1r1/2p3p1/bb2q1n1/pp2nN1p/3P3P/2P1PP2/PP2R1P1/BB3KR1 b - - 0 21|2394|2323
r3k1r1/1bp3p1/4q1n1/pp5p/2nP3P/4PP2/PP2R1P1/BB3KRN w - - 1 25|-808|-730
r3k1r1/1bp3p1/6n1/pp1Pq2p/2n4P/3BPP2/PP1R1KP1/B5RN b - - 6 28|2616|2585
r2k2r1/1bp3p1/3n4/pp1P3p/3qP2n/5P2/PP1RB1P1/B3K1RN w - - 0 32|-1462|-1397
r1bqk2r/pp1p1ppp/2nb1n2/1N6/3pP3/8/PPPK1PPP/R1BQ1B1R w kq - 0 3|-1621|-1613
r1b1k2r/ppbp1ppp/5n1B/4n3/3pP3/7P/PPP2PP1/R2QKB1R b kq - 3 6|-443|-419
r1bbk2r/p2p1ppp/7B/1p2n3/1P1pP3/P1n4P/2P2PP1/RQ2KB1R w kq - 0 10|461|439
r1bbk1r1/p2p1ppp/8/1n2n3/1P1pP3/P6P/2P2PP1/RQB1K2R b q - 3 12|109|116
r1bbk1r1/p2p1ppp/8/8/1P1pP3/P1n2P1P/1nP3P1/RQB2K1R b q - 2 15|413|431
rnbqkbnr/pp1ppppp/8/2p5/8/1P4P1/P1PPPP1P/RNBQKBNR b KQkq - 0 2|39|40
r1b1kbnr/p2pp1pp/1qn5/1pp2p2/8/1PN2PP1/PBPPP2P/R2QKBNR w KQkq - 3 6|29|30
rqb1kbnr/p2pp3/2n5/1pp2ppp/4P3/PPN2PPB/1BPP3P/1R1QK1NR b Kkq - 0 9|-21|-18
r1bk1bnr/p2p4/2n5/qpp1pPpp/8/PPNP1PPB/1BP4P/1RQ1K1NR w K - 1 13|545|548
r1b1kbnr/p2p4/2n5/q1p1pPpp/8/PPpPQPP1/2P3BP/BR1K2NR b - - 1 16|892|885
r1b1k1nr/p3b3/8/q1pp1Ppp/1n2p3/PPpPQPP1/2P3BP/BRK3NR w - - 0 20|-709|-693
r1b1k2r/p3bn2/8/2pp1Ppp/1n2Q3/qPpP1PP1/2P1N2P/BRK2B1R w - - 0 23|-1179|-1174
r3k2r/4Qn2/p7/2pp1bpp/1n6/qPpP1PP1/2P4P/BRNK1B1R b - - 0 25|-98|-105
3rr3/4kn2/p7/2pp1bpp/1n6/1qBP1PP1/2P1N2P/1R1K1BR1 w - - 1 29|-921|-835
r3r3/3bkn2/p7/2p3pp/1n1p4/1PBP1PPP/4N3/1R1K1B1R w - - 3 32|-499|-512
r7/4kn2/p1b5/1rp3pp/1n1p1PP1/1PBP3P/4N3/1R1K1B1R b - - 0 35|1040|1063
1r6/4kn2/p1b5/B1pn2pp/3p1PP1/1r1P3P/4NR2/1R1K1B2 w - - 2 39|-781|-787
1r1B4/3k1n2/p1b5/3n2pp/2pp1PP1/3P3P/1r2NR2/1R1K1B2 w - - 4 42|-1167|-1180
7n/3k4/prb2B2/3n2pp/2pp1PP1/3P3P/1r2N2R/2R1KB2 b - - 11 45|721|731
7n/3k4/1rb5/p2nBPpp/2pp2P1/3P3P/r3N2R/3RKB2 w - - 0 49|-343|-342
7n/4k3/1rb5/p2nBPpp/2pN2PP/3P4/6BR/3rK3 w - - 0 52|-701|-664
1r6/4k3/2b2B2/p2n1Ppp/3N2PP/3p1K2/6BR/4r3 b - - 2 55|1186|1184
1r5k/4B3/2b5/p2n1Ppp/3N2PP/3p1K2/3R4/4r2B b - - 8 58|1744|1750
r7/4Bk2/1nb5/p4Ppp/3N2PP/3p3K/R7/4r2B w - - 15 62|-789|-777
r1n5/4B1k1/8/p4Ppp/3Nb1PP/3p1B1K/2R5/4r3 w - - 21 65|-480|-466
r7/4n2k/8/p4P1p/4b1PB/3p1B1K/8/2R1r1N1 b - - 4 68|1332|1332
4r2k/4n3/8/p1R2P1p/4b1PB/6K1/4p3/4r1N1 w - - 0 72|-1471|-1438
rn2kbnr/ppq2ppp/2p1p3/3pPb2/1P1P1B2/5N2/P1P2PPP/RN1QKB1R b KQkq - 2 2|123|128
rn2k1nr/ppq2ppp/2pbp3/1B1pPb2/1P1P1B2/5N2/P1P2PPP/RN1QK2R w KQkq - 9 6|-26|-29
rn2k1nr/ppq3pp/2p1ppb1/1BbpP3/1P1P1BP1/N2Q4/P1PN1P1P/R3K2R b KQkq - 5 9|318|330
rn2k1nr/pp4pp/2p1pp2/1B1pq3/1b1PbBP1/N2Q4/P1PNKP1P/RR6 b kq - 1 12|420|417
rn2k1nr/pp2b1pp/2p1pp2/1B1p4/2PPb1q1/3Q1P2/PR1NK2P/R7 w kq - 0 16|-1576|-1522
rn2k1nr/pp4pp/2pbppb1/1B1P4/3P4/3QKP2/PR4qP/4RN2 b kq - 6 19|2466|2441
rn2k1nr/1p4p1/2p1ppbp/pB1P4/3P4/3QKPbq/PR1N3P/2R5 w kq - 2 23|-1384|-1336
rn2k1nr/1p4p1/2p1ppbp/pB1P4/3P4/3QKP1q/P1R5/3R1Nb1 w kq - 2 26|-1105|-1050
rn2k1nr/1p4p1/4pp1p/1p1P4/p1NPQK2/5P1q/P1R5/3R2b1 b kq - 0 29|1445|1394
1n1k2nr/rp4p1/4pp1p/1p1P4/3PQK2/p3NP1q/PR6/3R2b1 b - - 1 32|1864|1818
qnbnr1kr/ppp1b1p1/4p3/3p3p/2P1p3/3PP3/PP2BPPP/QNB1R1KR w KQkq - 0 11|-1224|-1219
qnbnrrk1/ppp5/4p3/3p2pp/2PPp3/b3P1P1/PP2BP1P/QNB2RKR w K - 1 14|-74|-42
qnbnr3/ppp5/4p2k/3p2pp/2PPp1P1/b1N1Pr2/PP2BP1P/Q1BR2KR w K - 5 17|-147|-119
qn1nr3/ppp5/3bb2k/3pp1pp/2PPp1P1/2N1Pr1B/PP3P1P/Q1BR2KR b K - 3 20|1429|1425
qn1n4/ppp1N3/3bb2k/4prpp/2PPp1P1/4Pr1B/PP3P1P/Q1B2RKR b K - 4 23|565|550
qn6/ppp5/3bnr1k/3Np1p1/1PPPp1Pp/B3Pr1B/P4P1P/Q4RKR w K - 1 27|439|436
qn6/ppb3n1/2p2r1k/1P1Np1p1/2PPp1Pp/B1Q1Pr1B/P4P1P/1R4KR w K - 2 30|493|481
qn6/ppb2rn1/1NpB3k/1P2p1p1/2PPp1Pp/2Q1P2B/P4P1P/2R2K1R b - - 0 33|-1086|-1034
qn6/ppB4k/1Np5/1Pn1prp1/2PPp1Pp/2R1P2B/P2Q1P1P/5K1R w - - 3 37|2448|2396
q7/ppB5/n1p3k1/1P1Pprp1/N1P1p1Pp/2RQP2B/P4P1P/5K1R w - - 1 40|2963|2897
2q5/ppB2r1k/nNp5/1P1Pp1p1/2P1p1Pp/1R2P2B/P4P1P/1Q3K1R w - - 7 43|2428|2346
3q4/ppBr3k/nNp5/1P1Pp1p1/1QP1p1Pp/R3P2B/P4P1P/5K1R b - - 14 46|-901|-784
N2q4/ppn4k/2pr4/1P1Pp1p1/Q1P1p1Pp/3RP2B/P4P1P/5K1R w - - 4 50|1855|1806
q7/1pn5/1PPr3k/p2Rp1p1/Q1P1p1Pp/4P2B/P4PKP/7R b - - 2 53|-1627|-1583
7q/1p5k/nPP5/p1Rrp1p1/P1P1p1Pp/4P2B/2Q2PKP/7R w - - 1 57|1913|1871
6kq/1p6/nPP5/2R1p1p1/P1P3Pp/3pP2B/5PKP/1R1r4 b - - 1 60|393|381
7q/1p5k/nPP5/2R1p1p1/PRP3Pp/3pP2B/5PKP/4r3 b - - 5 62|1122|1132
rnbqkb1r/pppppppp/8/3n4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3|77|84
rnbqkb1r/p2ppp1p/1pp3p1/3n4/5P2/5N1P/PPPPPKP1/RNBQ1B1R w kq - 0 6|-1|0
rnbqkb1r/p3pp2/1ppp2pp/8/1n2PP2/2N4P/PPPP1KPN/R1BQ1B1R w kq - 0 9|219|222
rn1qkb2/p3pp1r/bpp3pp/3p4/1n2PP2/2NP1Q1P/PPP2KPN/R1B2BR1 w q - 3 12|177|179
r2qk3/p3ppbr/bpp3pp/1Nnp4/1n2PPQP/3P2K1/PPP3PN/R1B2BR1 b q - 4 15|697|714
2rk4/p3ppbr/bppNn1pp/3pP3/1n3PQP/1P1P2K1/P1P3PN/R1B2BR1 w - - 1 19|1828|1752
2Nk4/p3p1br/1pp3pp/Pb1pPp2/1n1n1PQP/1P1PB1K1/2P3PN/R4BR1 b - - 0 22|-840|-696
2N5/p1k3br/1pp1p1pp/Pb1pPp2/1n3PQP/1P1P1nK1/2PBB1PN/R5R1 w - - 4 25|3300|3206
2N5/1k4br/1Pp1p1pp/pb1pPp2/1n1P1PQP/1P4K1/2Pn2PN/R2B2R1 w - - 0 28|2186|2110
2N5/1k5r/bPp1p1pp/3pbp2/pnPP1P1P/1P3QK1/3n2PN/R2BR3 w - - 0 31|1824|1749
r1bqk2r/p2p1ppp/2nb1n2/1p2pN2/4P3/2N3P1/PPP2P1P/R1BQKB1R w KQkq - 2 3|867|888
r1q1k1r1/p2p1ppp/b1nb1n2/1p2p3/P2QP2N/2N3P1/1PP2P1P/R1B1KB1R w KQq - 5 6|223|230
r1qnk1r1/p2pbpp1/b4n2/1N2pN1p/P3P3/5PP1/1PPQ3P/R1B1KB1R b KQq - 0 9|-785|-792
r2nk1r1/p2p1pp1/b2b1n1N/1N2p2p/P3P3/2P2PP1/1P1Q3P/1RB1KBqR w Kq - 5 13|1377|1404
r2nkbr1/pb1p1pp1/5n1N/4p2p/P3P3/N1PQ1PP1/1P5q/1RB1KB1R w Kq - 0 16|221|233
r2nkbr1/1b1p1Np1/p7/P3p1Bp/3Qn3/N1P2PP1/1Pq5/1R2KB1R b Kq - 0 19|419|427
r2nkbr1/1b1p1Np1/p7/P3p2p/3Qn3/N1PBBPP1/1P2q3/1R2K2R w Kq - 7 23|-536|-551
4kbr1/rb1p1Np1/p7/P3p2p/3nn3/NPP1BPPR/4B3/1R2K3 w - - 0 26|351|358
5br1/rb1pkNp1/p7/P3p3/3R3p/NPn2PP1/4B3/1R2K1B1 w - - 0 29|319|298
5br1/rbnp1kp1/p7/P3p3/R6p/1P3PP1/4B3/RN2K1B1 w - - 4 32|79|88
2r5/rbnp1kpB/p7/P3p1b1/7R/1P3PP1/8/RN2K1B1 b - - 2 35|591|601
8/rb1p1kpB/p2n4/P3p1b1/8/1P3PPR/2r4B/RN3K2 w - - 9 39|-452|-452
8/r2pbkp1/p2n4/P3p3/4b1P1/1P1B1P1R/5r1B/RN4K1 w - - 5 42|209|222
8/r2pb1pB/p2n1k2/P2bp3/R5P1/1PN2PR1/5r1B/6K1 b - - 12 45|-193|-200
8/2rpb1p1/p4k2/P2bp3/6P1/1Pn2PR1/R6r/1B4K1 w - - 2 49|-1718|-1677
r1bqk1nr/pppnbppp/4p3/3p2B1/3PP3/3Q4/PPP1NPPP/R3KBNR w KQkq - 4 3|82|84
rnbqk2r/ppp1bp1p/4p1pn/3p2B1/1P1PPN2/5Q1P/P1P2PP1/R3KBNR b KQkq - 2 6|-33|-28
rnb1k2r/pppq1p1p/4pBpn/2bp4/1P1PPN2/7P/PQP2PP1/R3KBNR w KQkq - 9 10|1138|1162
rnbqk2B/1pp2p1p/4p1pn/p2p4/1bBPPN2/2Q4P/P1P2PP1/R3K1NR w KQq - 2 13|13|-32
1nb1k1nB/1pp2p1p/r2qp1p1/p2p4/1bBPPNP1/2Q2P1P/P1P5/R3K1NR b - - 4 16|331|381
1nb3nB/1p2kp1p/1rpqpNp1/p2p4/2BPP1P1/b1Q2P1P/P1P1K3/R5NR w - - 6 20|857|828
2b1Nkn1/1p1n1p1p/1rpqpBp1/p7/2pPP1P1/b2Q1P1P/P1P1K3/R5NR w - - 0 23|-496|-497
1qb1Nk1B/1p1n1p1p/1r2p1pn/p1p5/2pPP1P1/b4P1P/P1P1K3/1RQ3NR b - - 5 26|118|107
1qb1N1k1/1p3pBp/4p1p1/prp1n3/2pPP1n1/bRP2P1P/P3K3/2Q3NR w - - 2 30|-94|-75
qn1rbbkr/ppp2p1p/3pp1p1/8/n2PP3/P2N3P/1PP2PPK/QN1RBB1R b kq - 2 10|-155|-157
qn1rb1kr/ppp2p2/3pp1pp/2N5/n2PP2K/P6P/1PP2PP1/QN1RBB1R w kq - 0 14|206|168
qn1rb1kr/ppp2p2/3pp1pp/B1NP4/7K/P5nP/1PP2PPR/QN1R1B2 w kq - 1 17|121|92
qn2b2r/p1pr1pk1/1p1pp1pp/B1NP4/2B4K/PP4nP/2P2PPR/1N1R4 w - - 0 20|-1551|-1501
qn2bk1r/p2r1p2/1ppp2pp/B1NPp3/P1B3K1/1P4nP/2P2PPR/1N1R4 b - - 2 23|2273|2238
qn2bk1r/p1B1rp2/2pp2pp/1NpPpn2/P1B3K1/1P5P/2P2PPR/3R4 b - - 1 26|2934|2891
1n1Bb2r/pq2rpk1/2pp2pp/1NpPp3/P1B3Kn/1P5P/2P2PPR/4R3 w - - 6 29|-1856|-1780
1n1B4/pq1brpkr/2pp2pp/1NpPp3/P1B2PKn/1P5P/2P3PR/5R2 w - - 3 31|-1806|-1731
1n1B4/1q1brpkr/p2p2pp/1ppP4/P1B1pP1K/1P5P/2P3P1/2R3R1 b - - 1 34|2209|2146
1n1Bb3/q2r1pkr/p2p2pp/1ppP4/P1B2PPK/1P2p2P/R1P5/6R1 w - - 4 38|-2469|-2410
1n1Bb2k/2qr1p1r/p2p3p/1BpP1p2/P5PK/1P2p1RP/R1P5/8 b - - 0 41|1820|1753
1n1Bb2k/2q1rpr1/3p3p/pBpP1P2/P6K/1P2p2P/R1P5/2R5 b - - 4 44|1775|1715
1n1B3k/3br3/2Pp1p1p/pBp2P2/P6K/1P2p2P/R1P3r1/2R5 w - - 2 48|404|405
1n5k/2Bbr3/2PpBp2/p1p2r1p/P6K/RP2p2P/2P5/2R5 b - - 1 51|365|376
1n5k/3b4/2Pprp2/B1p4p/P4r1K/RP2p2P/2P5/6R1 w - - 3 54|-991|-983
1n1bnrkr/p1p1ppp1/3p4/1p3b1p/3P2PP/8/PPP1PK2/QNBBNR1q w kq - 0 11|-1790|-1758
1n1bnr1r/p1p1pppk/6b1/1p1p3p/3PP1PP/PP3N2/2P2K2/QNBB1R1q b - - 0 14|1702|1678
1n1bnrrk/2p1ppp1/6b1/p2P3p/1p1P2PP/PP3N2/1QP2K2/1NBB1R1q w - - 0 18|-1078|-1045
1n1bnrrk/2p2ppb/6P1/p2qp2p/1P1P3P/1P6/1QP2K2/1NBBNR2 b - - 0 21|1422|1397
1n1bnrrk/2p3p1/5pb1/3Pp2p/pP2q2P/1PP5/Q4K2/1NBBNR2 w - - 0 25|-1496|-1456
1n1b1rrk/2p3pb/3n1p2/3Pp1Bp/1P2q2P/1pPN4/Q7/1N1BR1K1 b - - 5 28|2189|2161
1n1b1rrk/2p3pb/5p2/3PpnBp/1P5P/1pPN2q1/Q7/1N1B3K w - - 4 31|-2817|-2745
1n1b1rrk/2p3pb/5p2/3PpnBp/1PP4P/1p1N4/1q4Q1/1N1B3K w - - 1 34|-1953|-1867
1n1b1rrk/2p3pb/5p2/3Pp1Bp/1PP4P/1p1N4/3N4/3B1nK1 b - - 0 37|2169|2096
3b1rrk/2pn2pb/8/3PNpBp/1PP1p2P/1p6/3NB3/5nK1 w - - 0 40|-996|-895
3b2rk/2pn1rp1/6b1/3P1pBp/1PP1N2P/1p3B2/8/5nK1 b - - 2 42|2854|2769
6rk/2pn1rp1/6bb/3P1p1p/1PP1N2P/1p4K1/3n4/7B b - - 3 45|4709|4620
6rk/2pn1rp1/6b1/2PP1p1p/1P3b1P/5n1K/5N2/1b5B w - - 4 49|-4807|-4686
3r3k/2pn1rp1/2PP2b1/4bp1p/1P5P/5n1K/7N/1b5B b - - 2 52|4426|4300
3r3k/2pP1rp1/2P3b1/2n4p/1P3p1P/3b1N2/1b4K1/7B w - - 0 56|-2772|-2651
3r3k/2pP2p1/2P1r1b1/2P4p/5p1P/3b3K/1b1N4/7B w - - 1 59|-2979|-2898
3r3k/2pP2p1/2P1r1b1/1bPB3p/3N1p1P/b6K/8/8 b - - 6 61|2545|2461
r6k/1NpP1bp1/b1P1r3/3B3p/5p1P/7K/8/8 w - - 3 65|-763|-669
7k/1NpP1bp1/b7/7p/4Bp1P/7K/8/4r3 b - - 0 68|709|655
rnbqkb1r/1p2pp1p/p2p1np1/8/4P3/2N5/PPPN1PPP/R1BQKB1R b KQkq - 1 2|101|107
1n1qkb1r/rp2pp1p/p2p2p1/5Pn1/8/8/PPPNKPPP/R1BQ1B1R w k - 2 6|117|118
1n1q1b1r/rp1kpp2/p2p1Pp1/7p/P3n3/5N2/1PP1KPPP/R1B1QB1R b - - 4 9|201|210
1n2Qb1r/rp1k1p2/pq1p2p1/7p/P3n3/5N2/1PP1KPPP/R3QB1R b - - 0 12|-126|-57
1n3b1r/rp2kp2/pq1p2p1/7p/P7/R1P5/1P2KnPP/4QBNR w - - 2 16|-520|-487
1n2kb1r/rp3p2/pq1p1np1/7p/PP6/R1P5/4K1PP/Q4BNR w - - 1 19|-1561|-1547
1n2kb1r/r4p2/p2p1np1/1p3q1p/PP6/R1P3P1/3K3P/1Q3BNR b - - 1 22|2031|2027
1n2kb1r/r4p2/p2p1n2/1p4pp/PP6/R1P3P1/1Q1KN2P/5B1R w - - 0 25|1782|1758
1n2k2r/r4pb1/p2p4/1p4pp/PP4n1/R1P3P1/1Q2N2P/4KB1R b - - 5 27|-1050|-1008
rn2kr2/5p2/p2p3n/1p2b1pp/PP1N4/R1PQ2P1/7P/4KB1R w - - 12 31|2304|2285
rn2kr2/5p2/p2p3n/1p5p/PP4pP/2PQ2P1/5b2/3RKB1R w - - 1 34|1289|1276
1n2kr2/4rp2/p2Q3n/1p5p/PP1b2pP/2P3P1/4K3/1R3B1R w - - 3 37|828|803
1n1k1r2/4r3/p4p1n/1P5p/1PP1Q1pP/6P1/1b2K3/1R3B1R b - - 2 40|-225|-177
1n1k2n1/4rr2/p4p2/1PQ4p/1PP3pP/6PB/1b2K3/1R5R w - - 9 44|944|909
1n1k4/4nr2/p4p2/1P2r2p/1PP3pP/4Q1P1/1b1K2B1/1R5R w - - 15 47|1550|1531
3k4/3n3r/p4pn1/1P2r2p/1PP3pP/1Q4P1/1b1K2BR/3R4 b - - 22 50|-1336|-1316
8/2kn1Q2/p4pnr/1PPr3p/1P4pP/b5P1/3K2BR/6R1 w - - 3 54|1607|1594
8/2kn1Q2/p5nr/1PP2p1p/1P4pP/b5P1/B2K3R/5R2 w - - 4 57|2665|2622
rnbqk1nr/pppppp1p/7b/6p1/8/N2P4/PPP1PPPP/R1BQKBNR w KQkq - 1 3|292|299
rnbqk1nr/ppp1ppbp/8/3p4/2N4B/3P4/PPP1PPPP/R2QKBNR w KQkq - 0 6|131|122
r1bqk2r/pp1nppbp/2p4n/3pB3/2N5/3P1P2/PPPQP1PP/R3KBNR b KQkq - 0 9|72|82
1Bbqk2r/p3ppbp/1pp4n/3p4/2N1n3/3P1P2/PPP1P1PP/R1Q1KBNR w KQk - 0 13|1608|1587
1Bb1k2r/p3ppbp/1ppN3n/8/1P1pn3/3P1P2/P1P1P1PP/1RQ1KBNR b Kk - 0 15|-3725|-3636
1Bbk3r/p4pbp/1ppNp2Q/2n5/1P1p3P/3P1P2/P1P1P1P1/3RKBNR b K - 2 18|-3147|-3022
1Bb1k2r/p4pb1/1pp1p2p/2n3Q1/1PNp3P/3P1P2/P1P1P1P1/3RKBNR b K - 1 21|-3513|-3397
1B2k2r/p1b1Qp2/bpp1p2p/1Pn5/2NpP2P/3P1P2/P1P3P1/3RKBNR b K - 2 24|-3052|-2929
1B5r/pnb1kp2/bpp1p3/1P5p/2NpP2P/3P1P2/P1PRK1P1/5BNR w - - 0 27|2154|2112
r3k2r/p1ppqpb1/b3pnp1/1B1PN3/1pn1P3/5Q1p/PPPB1PPP/RN2K2R b KQkq - 3 2|478|480
r2q1rk1/p1pp1pb1/bn2p1p1/3PN2n/1p2P3/3Q3p/PPPBBPPP/RN2K1R1 w Q - 10 6|-576|-579
2rq1rk1/p1pN2b1/b3ppp1/3P3n/1pn1P3/PP3Q1p/2PBBPPP/RN2K1R1 b Q - 0 9|-187|-193
1rbq1rkb/p1p5/4ppp1/3P3n/Ppn1P3/1P3Q1p/2PBBPPP/RN2KR2 b Q - 0 12|607|589
1rb2rkb/p1q5/4ppp1/1npP3n/Pp2PB2/1P5Q/2PKBPPP/RN3R2 w - - 3 16|-19|5
1rb2rkb/p1q5/4ppp1/3P1Q2/Ppp1Pn2/nP6/2PK1PPP/RN1B3R w - - 0 19|-2189|-2173
1rb2rkb/8/3qPpp1/p7/Ppp1PnQ1/1P2K3/2P2PPP/Rn1B1R2 b - - 0 22|2971|2960
1rb2rk1/6b1/4Ppp1/p6Q/PppqP2P/1P2K2n/2P2PP1/Rn1B1R2 w - - 3 25|-983|-930
1rb2rk1/8/4PpQb/p7/Pp1KP2P/1p5n/2P2PP1/Rn1B3R b - - 0 27|-376|-348
1rb2rk1/6b1/4PpQ1/p2K4/Pp2P2P/1pn4n/2P2PP1/R2B3R w - - 3 29|-1049|-1103
2b2rk1/1r4b1/3KPpQ1/p7/Pp2P1BP/7n/1pP2PP1/1R3R2 b - - 3 32|-446|-382
3r2k1/1br3b1/1K2PpQ1/p7/Pp2P1BP/8/1pP2nP1/1RR5 w - - 6 36|-102|-170
r1b3k1/6b1/1K2PpQ1/p1r5/Pp2P2P/8/1pP1BnP1/5RR1 b - - 13 39|-111|-50
q1bnr1kr/pppnb1pp/4p3/3p1p2/8/2NPP3/PPPNBPPP/Q1B1R1KR w KQkq - 3 10|2|1
qnbnr1kr/p1p1b1pp/1p6/3ppp1B/8/1NNPP3/PPP2PPP/Q1BR2KR w Kkq - 2 13|-50|-56
qn1nr1kr/p1p3pp/bp6/P2pp1bB/6p1/1NNPP2P/1PP2P2/Q1BR2KR b Kkq - 0 16|135|135
qn2r1kr/pnp1b1pp/1p4B1/Pb1pp3/6p1/1NNPP2P/1PP2P2/Q1B1RRK1 b kq - 6 19|93|96
qn2rbkr/pnpb2p1/1p4p1/P2pp3/8/1NNPP2p/1PPB1P1K/Q3RR2 w kq - 2 23|-1770|-1761
qn1r1b1r/pnpb2pk/1p4p1/P1N1p3/3p4/1NBPP2p/1PP2P1K/1Q2RR2 b - - 3 26|1534|1525
qn1r3r/p2bb1pk/2p3p1/Ppn1p3/3N4/3PP2p/1PPB1P1K/1Q1R1R2 w - - 2 30|-1931|-1906
qn2r2r/p2b2pk/P1p1n1p1/1p2p3/3NP2b/3P3p/1PPB1P1K/1QR3R1 b - - 4 33|2065|2043
qn2r2r/p5pk/P1p2R2/1p2p3/3NP1bb/3n3p/1PPB1P1K/1Q5R b - - 1 36|1383|1344
3q1rkr/p5p1/n1p5/1p2p3/4P1bb/3n3p/1PPBNP1K/1Q5R w - - 0 40|-2085|-1995
5rkr/p5p1/nqp2b2/4p3/1p1NP1b1/3n2Bp/1PP2P1K/6QR b - - 3 43|2669|2592
rnbqk2r/p1pnbppp/1p2p3/3p4/3N4/P5P1/1PPPPPBP/RNBQ1RK1 w kq - 0 3|96|95
rnbq3r/p1pk1ppp/1pN1pb2/2np4/8/P1P3P1/1P1PPPBP/RNBQ1RK1 b - - 4 6|-314|-313
r1bqr3/p1pk1pp1/np2pb2/3p3p/5P2/PnP3P1/NP1PP1BP/RNBQ1RK1 w - - 1 10|-128|-127
